foundation,grantee,state,city,grant_year,grant_allocation,grant_purpose,grantee_work
MRBF,Southwest Georgia Project,GA,Albany,2018,10000,General Operating,
MRBF,"Anderson Interfaith Ministries, Inc",SC,Anderson,2017,175000,General Operating,
MRBF,Appalachia Funders Network,NC,Asheville,2018,60000,General Operating,
MRBF,Athens Land Trust,GA,Athens,2017,150000,General Operating,
MRBF,Athens Land Trust,GA,Athens,2018,15000,General Operating,
MRBF,"Economic Justice Coalition, Inc.",GA,Athens,2018,10000,General Operating,
MRBF,AEO Democratizing Rural Electric Cooperatives Working Group,GA,Atlanta,2018,65000,Regranting and Project Support,
MRBF,BVM Capacity Building Institute,GA,Atlanta,2018,15000,General Operating,
MRBF,Delivering on the Dream - Georgia,GA,Atlanta,2018,50000,General Operating,
MRBF,Enterprise Community Partners,GA,Atlanta,2018,75000,Project Support,
MRBF,GALEO Latino Community Development Fund,GA,Atlanta,2017,50000,General Operating,
MRBF,GALEO Latino Community Development Fund,GA,Atlanta,2018,150000,General Operating,
MRBF,Georgia ACT Inc,GA,Atlanta,2017,170000,General Operating,
MRBF,Georgia Budget and Policy Institute,GA,Atlanta,2017,200000,General Operating,
MRBF,Georgia Latino Alliance for Human Rights,GA,Atlanta,2017,150000,General Operating,
MRBF,Georgia Wand Education Fund,GA,Atlanta,2018,15000,General Operating,
MRBF,Georgia STAND-UP,GA,Atlanta,2017,300000,General Operating,
MRBF,Partnership for Southern Equity,GA,Atlanta,2018,15000,General Operating,
MRBF,ProGeorgia,GA,Atlanta,2017,250000,General Operating,
MRBF,ProGeorgia,GA,Atlanta,2018,300000,Regranting,
MRBF,Project South,GA,Atlanta,2017,250000,General Operating,
MRBF,Project South,GA,Atlanta,2018,5000,General Operating,
MRBF,"Southern Partners Fund, Inc.",GA,Atlanta,2017,75000,General Operating,
MRBF,"Southern Partners Fund, Inc.",GA,Atlanta,2018,300000,General Operating and Regranting,
MRBF,Southerners on New Ground,GA,Atlanta,2017,100000,General Operating,
MRBF,Southerners on New Ground,GA,Atlanta,2018,100000,General Operating,
MRBF,Women Engaged,GA,Atlanta,2018,50000,General Operating,
MRBF,Georgia Shift,GA,Augusta,2017,15000,General Operating,
MRBF,Louisiana Budget Project,LA,Baton Rouge,2017,150000,General Operating,
MRBF,Central Appalachian Network,KY,Berea,2017,225000,General Operating,
MRBF,Community Farm Alliance,KY,Berea,2017,150000,General Operating,
MRBF,"Federation of Appalachian Housing, Inc.",KY,Berea,2016,1340000,Uplift America Fund,
MRBF,Mountain Association for Community,KY,Berea,2018,550000,General Operating,
MRBF,Faith in Action Alabama,AL,Birmingham,2018,15000,General Operating,
MRBF,Faith in Action Alabama,AL,Birmingham,2018,120000,General Operating,
MRBF,Greater Birmingham Ministries,AL,Birmingham,2017,75000,General Operating,
MRBF,Women's Fund of Greater Birmingham,AL,Birmingham,2018,200000,General Operating,
MRBF,Appalachian Voices,NC,Boone,2017,50000,Project Support,
MRBF,Appalachian Voices,NC,Boone,2018,75000,Project Support,
MRBF,We are Down Home,NC,Burlington,2018,200000,General Operating,
MRBF,Center for Heirs Property Preservation,SC,Charleston,2017,350000,General Operating,
MRBF,South Carolina Association for Community Economic Development,SC,Charleston,2018,500000,General Operating and Regranting,
MRBF,South Carolina Community Loan Fund,SC,Charleston,2016,1340000,Uplift America Fund,
MRBF,South Carolina Community Loan Fund,SC,Charleston,2017,540000,General Operating and Capital Grant,
MRBF,Call to Action for Racial Equity,WV,Charleston,2018,15000,General Operating,
MRBF,"West Virginia Center on Budget and Policy, Inc.",WV,Charleston,2018,200000,General Operating,
MRBF,"West Virginia Community Development Hub, Inc.",WV,Charleston,2017,150000,General Operating,
MRBF,West Virginia Healthy Kids and Families Coalition,WV,Charleston,2018,250000,General Operating,
MRBF,WV Food and Farm Coaltiion,WV,Charleston,2017,150000,General Organizing,
MRBF,Women Watch Afrika,GA,Clarkston,2018,15000,General Operating,
MRBF,"Access to Capital for Entrepreneurs, Inc.",GA,Cleveland,2017,125000,General Operating,
MRBF,Southeast Immigrant Rights Network,GA,College Park,2017,175000,General Operating,
MRBF,"Every Blackgirl, Inc.",SC,Columbia,2018,15000,General Operating,
MRBF,Women's Rights and Empowerment Network,SC,Columbia,2018,5000,General Operating,
MRBF,Statewide Independent Living Council of Georgia,GA,Decatur,2018,15000,General Operating,
MRBF,Democracy North Carolina,NC,Durham,2016,200000,General Operating,
MRBF,Democracy North Carolina,NC,Durham,2018,350000,General Operating,
MRBF,Durham CAN (Congregation Associations and Neighborhoods),NC,Durham,2018,15000,General Operating,
MRBF,Institute for Southern Studies,NC,Durham,2017,150000,General Operating,
MRBF,Institute for Southern Studies,NC,Durham,2018,10000,General Operating,
MRBF,MDC Inc,NC,Durham,2017,300000,Project Support and General Operating,
MRBF,North Carolina Congress of Latino Organizations,NC,Durham,2018,220000,General Operating,
MRBF,People's Alliance Fund,NC,Durham,2018,15000,General Operating,
MRBF,Southern Vision Alliance,NC,Durham,2017,150000,General Operating and Regranting,
MRBF,Federation of Southern Cooperatives/Land Assistance Fund,GA,East Point,2017,150000,General Operating,
MRBF,Federation of Southern Cooperatives/Land Assistance Fund,GA,East Point,2018,10000,General Operating,
MRBF,Funders' Collaborative for Strong Latino Communities,NC,Greensboro,2018,15000,General Operating,
MRBF,Working America Education Fund,NC,Greensboro,2018,200000,General Operating,
MRBF,CommunityWorks Carolina,SC,Greenville,2016,25000,General Operating,
MRBF,CommunityWorks Carolina,SC,Greenville,2018,145000,PRI Related Grant,
MRBF,CommunityWorks Carolina,SC,Greenville,2018,371311,General Operating,
MRBF,"Home of Hope, Inc.",SC,Greenville,2018,150000,General Operating,
MRBF,US Endowment for Forestry and Communities,SC,Greenville,2018,300000,Project Support,
MRBF,Foundation for Appalachian Kentucky,KY,Hazard,2017,250000,General Operating,
MRBF,Foundation for Appalachian Kentucky,KY,Hazard,2018,7500,General Operating,
MRBF,Hope Credit Union ,MS,Jackson,2016,1340000,Uplift America Fund,
MRBF,Hope Enterprise Corporation,MS,Jackson,2016,1200000,Uplift America Fund,
MRBF,Hope Enterprise Corporation,MS,Jackson,2017,200000,Project Support,
MRBF,Hope Enterprise Corporation,MS,Jackson,2017,100000,General Operating,
MRBF,Hope Enterprise Corporation,MS,Jackson,2018,15000,General Operating,
MRBF,One Voice,MS,Jackson,2018,65000,Project Support,
MRBF,Southern Rural Black Women's Initiative,MS,Jackson,2017,100000,General Operating,
MRBF,Alliance for Appalachia,KY,Kentucky,2018,35000,General Operating,
MRBF,Community Ventures Corporation,KY,Lexington,2016,1005000,Uplift America Fund,
MRBF,Rurual Community Alliance,AR,Little Rock,2018,150000,General Operating,
MRBF,Arkansas Advocates for Children and Families,AR,Little Rock,2016,150000,General Operating,
MRBF,Arkansas Community Foundation,AR,Little Rock,2018,15000,General Operating,
MRBF,Arkansas Public Policy Panel,AR,Little Rock,2017,250000,General Operating,
MRBF,Alliance for Appalachia,KY,London,2017,35000,General Operating,
MRBF,"Kentucky Coalition, Inc.",KY,London,2016,200000,General Operating,
MRBF,"Kentucky Coalition, Inc.",KY,London,2018,300000,General Operating,
MRBF,Kentucky Highlands Community Development Corporation,KY,London,2016,837500,Uplift America Fund,
MRBF,New Workforce Institute of Northeast Louisiana,LA,Monroe,2017,100000,General Operating,
MRBF,Together Louisiana,LA,Monroe,2017,100000,General Operating,
MRBF,Arise Citizens Policy Project,AL,Montgomery,2017,260000,General Operating,
MRBF,Equity Alliance,TN,Nashville,2018,15000,General Operating,
MRBF,"Southern Mutual Help Association, Inc",LA,New Iberia,2017,100000,General Operating,
MRBF,Alliance for Affordable Energy,LA,New Orleans,2018,15000,General Operating,
MRBF,Greater New Orleans Foundation,LA,New Orleans,2017,75000,General Operating,
MRBF,Power Coalition,LA,New Orleans,2017,200000,General Programming and Regranting,
MRBF,Power Coalition,LA,New Orleans,2018,200000,Regranting,
MRBF,Voice of the Experienced,LA,New Orleans,2018,200000,General Operating,
MRBF,Asian Americans Advancing Justice Atlanta,GA,Norcross,2018,75000,General Operating,
MRBF,Asian Americans Advancing Justice Atlanta,GA,Norcross,2018,15000,General Operating,
MRBF,Asian Americans Advancing Justice Atlanta,GA,Norcross,2018,100000,General Operating,
MRBF,Metanoia,SC,North Charleston,2016,15000,General Operating,
MRBF,New American Pathways,GA,Project Support,2018,25000,Project Support,
MRBF,Blueprint North Carolina,NC,Raleigh,2016,200000,General Operating,
MRBF,Blueprint North Carolina,NC,Raleigh,2017,75000,Project Support,
MRBF,Blueprint North Carolina,NC,Raleigh,2018,325000,General Operating,
MRBF,Blueprint North Carolina,NC,Raleigh,2018,300000,General Operating and Regranting,
MRBF,"North Carolina Community Development Initiative Capital, Inc.",NC,Raleigh,2016,1006106,Uplift America Fund,
MRBF,North Carolina Justice Center,NC,Raleigh,2018,200000,General Operating,
MRBF,"Roanoke Economic Development, Inc.",NC,Rich Square,2018,100000,Project Support,
MRBF,Deep Center ,GA,Savannah,2018,150000,General Operating,
MRBF,"Step Up Savannah, Inc.",GA,Savannah,2017,140000,General Operating,
MRBF,Black Belt Community Foundation,AL,Selma,2018,200000,General Operating and Regranting,
MRBF,"Selma Center for Nonviolence, Truth & Reconciliation",AL,Selma,2018,15000,General Operating,
MRBF,"Selma Center for Nonviolence, Truth & Reconciliation",AL,Selma,2018,160000,General Operating,
MRBF,"Natural Capital Investment Fund, Inc.",WV,Shepherdstown,2018,25000,PRI Related Grant,
MRBF,Coalfield Development Corporation,WV ,Wayne,2018,200000,General Operating,
MRBF,Coalfield Development Corporation,WV ,Wayne,2018,15000,General Operating,
MRBF,Appalachian Citizens' Law Center,KY,Whitesburg,2018,150000,General Operating,
MRBF,Center for Rural Strategies,KY,Whitesburg,2017,75000,General Operating,
MRBF,Center for Rural Strategies,KY,Whitesburg,2018,10000,General Operating,
MRBF,Center for Rural Strategies,KY,Whitesburg,2018,200000,General Operating,
MRBF,"Reynolda House, Museum of American Art",NC,Winston-Salem,2016,392000,General Operating,
FFL,New Orleans Video Access Center,LA,New Orleans,2017,72800,Safe documentation to support communitiy engagement and access to information; citizen journalism workshop,
FFL,National Wildlife Federation,LA,New Orleans,2017,35000,Coastal Community Engagement and Planning,
FFL,Puentes New Orleans,LA,New Orleans,2017,20000,Bridge Loan,
FFL,Housing NOLA,LA,New Orleans,2017,125000,10-year strategy and implementation. Operational expenses,
FFL,Ashe Cultural Arts Center,LA,New Orleans,2017,65000,Recoverable Grant to be repaid in 60 days,
FFL,Greater Baton Rouge Economic Partnership,LA,Baton Rouge,2017,100000,One Louisiana Fund - Flood Relief,
FFL,Neighborhoods' Planning and Community Development,LA,New Orleans,2017,20000,Bridge Loan - Brothers Empowered to Teach Initiative,
FFL,Northern Louisiana Interfaith Sponsoring Committee,LA,Shreveport,2017,25000,Organize and Train Residents in Monroe & Lake Providence on policy advocacy and change ,
FFL,The Bridge Center of Hope,LA,Baton Rouge,2017,10000,2016 Flood - Trauma & Resiliency Training - Mental Health,
FFL,EBR Council on Aging,LA,Baton Rouge,2017,25000,2016 Flood - Assist Impacted Seniors - Appliances/Mental Health/Well-Being,
FFL,New Orleans Workers Center for Racial Justice,LA,New Orleans,2017,55000,Ten Year anniversary costs and criminal justice action table,
FFL,Lake Ponchartrain Basin Foundation,LA,New Orleans,2017,12000,Pntchartrain Estuary Cruise and Crab Fisher Partnership,
FFL,Bayou Interfaith Shared Community Organizing,LA,Thibodaux,2017,30000,Coastal Community Engagement and Planning,
FFL,Center for Planning Excellence,LA,Baton Rouge,2017,25000,Coastal Community Organization Support,
FFL,Chez Hope,LA,Franklin,2017,10000,"2016 Flood Relief Housing, Food and Supplies",
FFL,Coalition to Restore Coastal Louisiana,LA,Baton Rouge,2017,22000,Coastal Community Engagement and Planning,
FFL,Coastal Communities Consulting,LA,Gretna,2017,60000,Coastal Community Engagement and Technical Support,
FFL,Committee for a Better New Orleans,LA,New Orleans,2017,5000,Analysis of NOLA Master Plan and Production of Community Guide,
FFL,F & L Organizational Support Services,LA,New Orleans,2017,5000,Alton Sterling - Empower BR,
FFL,Friends of Lafitte Greenway,LA,New Orleans,2017,29000,Stormwater Management,
FFL,Greater Treme Consortium,LA,New Orleans,2017,150000,Claiborne Cultural Innovation District; Treme 7th Ward Arts and Cultural Festival,
FFL,Habitat for Humanity of Greater BR,LA,Baton Rouge,2017,20000,To assist in the rebuilding of flood-damaged homes in Greater Baton Rouge,
FFL,Kids Rethinking New Orleans,LA ,New Orleans,2017,5000,Youth Organizing Infrastructure - Baton Rouge,
FFL,LSU Foundation,LA,Baton Rouge,2017,10000,LSU Coastal Sustainability Studios,
FFL,Lutheran Social Services,TX,Harlingen,2017,15000,August 2016 Floods,
FFL,Metro Bicycle Coalition of New Orleans,LA,New Orleans,2017,10950,Livable Streets Education and Ambassadors Program in Claiborne Corridor,
FFL,Mid City Redevelopment Alliance,LA,Baton Rouge,2017,13000,Great Flood of 2016 response,
FFL,Nonprofit Knowledge Works Inc,LA,New Orleans,2017,100000,"LA Safe Data and Analysis - Demographic, Economic, and Workforce Trends",
FFL,Project South ,GA,Atlanta,2017,166000,Gulf South Rising,
FFL,Propeller Social Innovation Incubator,LA,New Orleans,2017,200000,Loan Capital,
FFL,Rays of Sonshine,LA,Monroe,2017,10000,Southside Community Operating Support,
FFL,Sexual Trauma Awareness and Response,LA,New Orleans,2017,40000,Great Flood of 2016 - Councseling,
FFL,Southern Poverty Law Center ,AL,Montgomery,2017,5000,Louisianans for Prison Alternatives - Bus Transportation,
FFL,Southwings,NC,Asheville,2017,15000,Coastal Louisiana Conservation Flight Program - Lead the Flight,
FFL,Life of a Si ngle Mom,LA,Baton Rouge,2017,7500,Provide Support to Single Mothers impacted,
FFL,Tulane Institute on Water Resources,LA,New Orleans,2017,70000,Research for Communities in Transition,
FFL,United Saints' Recovery Project,LA,New Orleans,2017,23800,Flood Recovery Program - Baton Rouge Area Rebuilding Project,
FFL,Vera Institute of Justice,NY,New York,2017,100000,Incarceration Inequalities Initiatives,
FFL,Voices of the Experienced,LA,New Orleans,2017,5000,Mobilize Communities to Attend Legislative Hearings,
FFL,Women with Vision,LA,New Orleans,2017,5000,Develop JRI Toolkits for Members to Address Lawmakers,
Contigo Fund,Hispanic Federation Inc,NY,New York,2018,82420,Contigo Fund Grants,
Contigo Fund,Sunshine Social Services (Sunserve),FL,Wilton Manors,2018,111600,General Operating Support,
Contigo Fund,Equality Florida Institute,FL,St. Petersburg,2018,81500,General Operating Support,
Contigo Fund,Stonewall National Museum and Archives,FL,Ft. Lauderdale,2018,97535,General Operating Support ,
Contigo Fund,Lamda Legal,NY,New York,2018,62544,General Operating Support,
Contigo Fund,One Orlando Alliance,FL,Orlando,2018,50000,Contigo Fund Grants,
Contigo Fund,Miracle of Love Inc,FL,Orlando,2018,37219,Contigo Fund Grants,
Contigo Fund,Sage,FL,Orlando,2018,6350,General Operating Support,
Contigo Fund,Central Florida Jobs with Justice,FL,Orlando,2018,25000,Contigo Fund Grants,
Contigo Fund,Mental Health Associates,FL,Orlando,2018,37032,Contigo Fund Grants,
Contigo Fund,Hope Community Centers,FL,Apopka,2018,42000,Contigo Fund Grants,
Contigo Fund,The Pride Center,FL,Wilton Manors,2018,32393,General Operating Support,
Contigo Fund,2018 AID Walk - AIDS Healthcare Foundation,FL ,"Fort Lauderdale, FL",2018,30000,Contigo Fund Grants,
Contigo Fund,Holocost Museum Education & Resource,FL ,Maitland,2018,30000,Contigo Fund Grants,
Contigo Fund,Movement Advancement Project,CO,Boulder,2018,30000,General Operating Support,
Contigo Fund,The GLBT Community Center of Central Florida,FL,Orlando,2018,26148,Contigo Fund Grants,
Contigo Fund,Actor's Fund,NY,New York,2018,16000,General Operating Support,
Contigo Fund,Historical Society of Central Florida,FL,Orlando,2018,15000,Contigo Fund Grants,
Contigo Fund,The Humanity Project,FL,Orlando,2018,26148,Contigo Fund Grants,
Contigo Fund,Immigration Equality,NY,New York,2018,15000,Contigo Fund Grants,
Contigo Fund,Farmworkers Association of Florida,FL,Apopka,2018,10000,Contigo Fund Grants,
Contigo Fund,Bliss Cares,FL,Orlando,2018,50000,Contigo Fund Grants,
Contigo Fund,Island City Stage,FL ,Wilton Manors ,2018,27650,Contigo Fund Grants,
Contigo Fund,Reformation Project,KS,Lenexa,2018,15000,General Operating Support,
Contigo Fund,Yes Institute ,FL,Miami,2018,11250,General Operating Support,
Contigo Fund,Muslim Women's Organization,FL,Orlando,2018,13450,General Operating Support,
Contigo Fund,Gay Men's Chorus of South Florida,FL,Wilton Manors,2018,14000,General Operating Support,
Contigo Fund,Miami Gay & Lesbian Film Festival ,FL ,Miami,2018,11500,General Operating Support,
Contigo Fund,Pet Project for Pets,FL,Wilton Manors,2018,6750,General Operating Support,
Contigo Fund,Live Agelessly,FL,Fort Lauderdale,2018,11250,General Operating Support,
Contigo Fund,New York Public Library,NY,New York,2018,12000,General Operating Support,
Contigo Fund,US Holocaust Memorial Museum,DC,Washington,2018,12200,General Operating Support,
Contigo Fund,Gilda Club of South Florida,FL ,Fort Lauderdale,2018,5100,General Operating Support,
Contigo Fund,"Casa Ruby, Inc.",DC,Washington,2018,10000,General Operating Support,
Contigo Fund,Compass Inc,FL,Lake Worth,2018,10250,General Operating Support,
Contigo Fund,Artserve Inc. ,FL ,Fort Lauderdale,2018,10048,General Operating Support,
Contigo Fund,Human Rights Campaign,DC,Washington,2018,5500,General Operating Support,
Contigo Fund,Alzheimer's Association,FL,Fort Lauderdale,2018,10000,General Operating Support,
Contigo Fund,CBE-Pride,DC,Washington,2018,10000,General Operating Support,
Contigo Fund,South Florida Pride Wind Ensemble,FL,Fort Lauderdale,2018,12000,General Operating Support,
Contigo Fund,First Unitarian Church of Orlando,FL,Orlando,2018,10000,Contigo Fund Grants,
Contigo Fund,"Gulf Coast Jewish Family & Community Services, Inc. ",FL ,Clearwater,2018,10000,General Operating Support,
Contigo Fund,Latinos Salud,FL,Wilton Manors,2018,10000,General Operating Support,
Contigo Fund,The Adventures Inc aka The Smart Ride,FL,Fort Lauderdale,2018,10000,General Operating Support,
Contigo Fund,ACLU Foundation,NY,New York,2018,10750,General Operating Support,
Contigo Fund,Libby's Legacy Project,FL,Orlando,2018,9000,General Operating Support,
Contigo Fund,World AIDS Museum,FL,Wilton Manors,2018,10000,General Operating Support,
Contigo Fund,Jewish Community Services,FL,Aventura,2018,5000,General Operating Support,
Contigo Fund,Outright Action International,NY,New York,2018,5000,General Operating Support,
Contigo Fund,New Beginnings TLC,FL,Davie,2018,5000,General Operating Support,
Contigo Fund,Centerlink ,FL,Fort Lauderdale,2018,5225,General Operating Support,
Contigo Fund,The Poverello Center,FL,Wilton Manors,2018,10050,General Operating Support,
Contigo Fund,Broward Education,FL,Fort Lauderdale,2018,20000,General Operating Support,
Contigo Fund,ACLU Foundation of Florida,FL,Miami,2018,10000,General Operating Support,
Contigo Fund,Renand Foundation,FL,Pompano Beach,2018,6000,General Operating Support,
Contigo Fund,Orlando Gay Chorus,FL,Orlando,2018,5650,General Operating Support,
Contigo Fund,Aqua Foundation for Women,FL,Miami,2018,5000,General Operating Support,
Contigo Fund,Heart Health and Healing Ministries,FL,West Palm Beach,2018,5000,General Operating Support,
Contigo Fund,Maven Leadership Collective ,FL,Miami,2018,5000,General Operating Support,
Contigo Fund,Opera Fusion,FL,Miami,2018,5000,General Operating Support,
Contigo Fund,Out Miami Foundation,FL,Miami Beach,2018,5000,General Operating Support,
Contigo Fund,Pioneer Winter Collective,FL,Miami,2018,5000,General Operating Support,
Contigo Fund,South Florida Institute on Aging,FL,Miami,2018,5000,General Operating Support,
Contigo Fund,The Fractured Atlas Inc,NY,New York,2018,5000,General Operating Support,
KBR,Neighbors for Better Neighborhoods,NC,Winston-Salem,2019,137500,Community,
KBR,Wake Forest University,NC,Winston-Salem,2019,55000,Community,
KBR,Upper Coastal Plain Council of Governments,NC,Wilson,2019,205150,Community,
KBR,Love Out Loud,NC,Winston-Salem,2019,82500,Community,
KBR,Liberty East Redevelopment,NC,Winston-Salem,2019,55000,Community,
KBR,Institute for Dismantling Racism,NC,Winston-Salem,2019,82500,Community,
KBR,HandsOn Northwest North Carolina,NC,Winston-Salem,2019,55000,Community,
KBR,Goler-Depot Street Renaissance Corporation,NC,Winston-Salem,2019,55000,Community,
KBR,Consumer Credit Counseling Service opf Forsyth County,NC,Winston-Salem,2019,27500,Community,
KBR,"Work Family Resource Center, Inc.",NC,Winston-Salem,2019,700239,Latinx,
KBR,Centers for Exceptional Children,NC,Winston-Salem,2019,71977,Community,
KBR,Smart Start of Forsyth County,NC,Winston-Salem,2019,78250,Community,
KBR,"Project Momentum, Inc",NC,Rocky Mount,2019,722909,Health,
KBR,Opportunities Industrialization Center,NC,Rocky Mount,2019,199192,Health,
KBR,NC DHHS Office of Rural Health,NC,Raleigh,2019,1000000,Health,
KBR,NC DHHS Division of Health Benefits,NC,Raleigh,2019,823500,Health,
KBR,Imprints Cares,NC,Winston-Salem,2019,575892,Health,
KBR,Foundation for Health Leadership and Innovation,NC,Cary,2019,2050000,Health,
KBR,Forsyth Medical Center Foundation,NC,Winston-Salem,2019,220000,Health,
KBR,Daymark Recovery Services,NC,Rockingham County,2019,165000,Health,
KBR,Care Ring,NC,Charlotte,2019,159500,Health,
KBR,"Burke County Council on Alcoholism, Inc.",NC,Burke County,2019,646394,Health,
KBR,Rural Economic Development Center,NC,Raleigh,2019,37400,Health,
KBR,North Carolina Justice Center,NC,Raleigh,2019,110000,Health,
KBR,NC Child,NC,Raleigh,2019,110000,Health,
KBR,"Mountain Projects, Inc.",NC,Waynesville,2019,506286,Health,
KBR,Legal Services of Southern Piedmont,NC,Charlotte,2019,673868,Health,
KBR,Crisis Control Ministry,NC,Winston-Salem,2019,71500,Economy,
KBR,Community Care of Western North Carolina,NC,Asheville,2019,347384,Health,
KBR,UNC Wilmington,NC,Wilmington,2019,401049,Health,
KBR,Piedmont Triad Regional Council,NC,Kernersville,2019,302500,Health,
KBR,"North Carolina Center for Nonprofit Organizations, Inc. ",NC,Raleigh,2019,206800,Health,
KBR,McDowell Technical Community College,NC,Marion,2019,445500,Health,
KBR,Cornerstone Family Worship Center Church of God,NC,Washington,2019,88000,Health,
KBR,Centro Unido Latino Americano,NC,Marion,2019,176000,Latinx,
KBR,Alpha Life Enrichment Center,NC,Washington,2019,66000,Health,
KBR,McDowell Local Food Advisory Council,NC,Marion,2019,336112,Health,
ZSR,NC Justice Center,NC,Raleigh,2018,645000,Strengthening Democracy,
ZSR,"NC Community Development Initiative, Inc.",NC,Raleigh,2018,500000,Community Development,
ZSR,Democracy NC,NC,Durham,2018,475000,Strengthening Democracy,
ZSR,Blueprint NC,NC,Raleigh,2018,325000,Strengthening Democracy,
ZSR,Democracy NC,NC,Durham,2018,300000,Strengthening Democracy,
ZSR,Planned Parenthood South Atlantic,NC,Raleigh,2018,250000,Social Justice and Equity,
ZSR,Southern Environmental Law Center,NC,Chapel Hill ,2018,240000,Environment,
ZSR,Conservation Fund,NC,Chapel Hill ,2018,230000,Community Development,
ZSR,East Carolina University,NC,Greenville,2018,225000,Public Education,
ZSR,NC Conservation Network,NC,Raleigh,2018,200000,Environment,
ZSR,Hoke County Schools,NC,Raeford,2018,200000,Public Education,
ZSR,Environmental Defense Fund,NC,Raleigh,2018,195000,Environment,
