Source,Target,inflow,weight
ASI,20,8333,0.8333
CAM,20,1787,0.1787
CAR,20,291,0.0291
EUR,20,2857,0.2857
ISL,20,37,0.0037
NAM,20,278,0.0278
OCE,20,221,0.0221
SAM,20,1158,0.1158
1,21,1873,0.1873
10,21,159,0.0159
11,21,197,0.0197
12,21,7536,0.7536
13,21,4610,0.461
15,21,467,0.0467
16,21,180,0.018
17,21,5417,0.5417
18,21,11037,1.1037
19,21,967,0.0967
2,21,587,0.0587
20,21,1205,0.1205
22,21,1006,0.1006
23,21,290,0.029
24,21,1680,0.168
25,21,694,0.0694
26,21,2871,0.2871
27,21,760,0.076
28,21,901,0.0901
29,21,2117,0.2117
30,21,37,0.0037
31,21,569,0.0569
32,21,467,0.0467
33,21,332,0.0332
34,21,508,0.0508
35,21,614,0.0614
36,21,3037,0.3037
37,21,3233,0.3233
38,21,56,0.0056
39,21,15721,1.5721
4,21,1013,0.1013
40,21,800,0.08
41,21,466,0.0466
42,21,1930,0.193
44,21,86,0.0086
45,21,1265,0.1265
46,21,177,0.0177
47,21,11192,1.1192
48,21,5797,0.5797
49,21,425,0.0425
5,21,496,0.0496
50,21,115,0.0115
51,21,2719,0.2719
53,21,1427,0.1427
54,21,2465,0.2465
55,21,1039,0.1039
56,21,266,0.0266
6,21,4277,0.4277
72,21,956,0.0956
8,21,1614,0.1614
9,21,373,0.0373
AFR,21,1366,0.1366
ASI,21,8217,0.8217
CAM,21,2233,0.2233
CAR,21,866,0.0866
EUR,21,2095,0.2095
NAM,21,597,0.0597
OCE,21,250,0.025
SAM,21,705,0.0705
1,22,3805,0.3805
10,22,101,0.0101
11,22,214,0.0214
12,22,5630,0.563
13,22,4447,0.4447
15,22,647,0.0647
16,22,113,0.0113
17,22,2571,0.2571
18,22,460,0.046
19,22,600,0.06
2,22,633,0.0633
20,22,727,0.0727
21,22,921,0.0921
23,22,36,0.0036
24,22,851,0.0851
25,22,698,0.0698
26,22,1762,0.1762
27,22,607,0.0607
28,22,8471,0.8471
29,22,1324,0.1324
30,22,301,0.0301
31,22,208,0.0208
32,22,492,0.0492
33,22,193,0.0193
34,22,709,0.0709
35,22,340,0.034
36,22,2398,0.2398
37,22,2679,0.2679
38,22,212,0.0212
39,22,1566,0.1566
4,22,571,0.0571
40,22,1861,0.1861
41,22,863,0.0863
42,22,901,0.0901
44,22,124,0.0124
45,22,1076,0.1076
46,22,171,0.0171
47,22,2426,0.2426
48,22,20638,2.0638
49,22,453,0.0453
5,22,2257,0.2257
50,22,32,0.0032
51,22,2514,0.2514
53,22,1568,0.1568
54,22,348,0.0348
55,22,534,0.0534
56,22,120,0.012
6,22,4959,0.4959
72,22,466,0.0466
8,22,1875,0.1875
9,22,293,0.0293
AFR,22,513,0.0513
ASI,22,4868,0.4868
CAM,22,3266,0.3266
CAR,22,1069,0.1069
EUR,22,3280,0.328
ISL,22,122,0.0122
NAM,22,370,0.037
OCE,22,227,0.0227
SAM,22,733,0.0733
1,23,133,0.0133
10,23,89,0.0089
11,23,114,0.0114
12,23,2640,0.264
13,23,435,0.0435
15,23,226,0.0226
16,23,93,0.0093
17,23,341,0.0341
18,23,110,0.011
19,23,255,0.0255
2,23,224,0.0224
20,23,295,0.0295
21,23,299,0.0299
22,23,522,0.0522
24,23,341,0.0341
25,23,5937,0.5937
26,23,210,0.021
27,23,176,0.0176
28,23,10,0.001
29,23,364,0.0364
30,23,98,0.0098
31,23,99,0.0099
32,23,131,0.0131
33,23,4429,0.4429
34,23,1025,0.1025
35,23,228,0.0228
36,23,2533,0.2533
37,23,798,0.0798
38,23,52,0.0052
39,23,529,0.0529
4,23,370,0.037
40,23,123,0.0123
41,23,211,0.0211
42,23,1774,0.1774
44,23,669,0.0669
45,23,339,0.0339
46,23,11,0.0011
47,23,208,0.0208
48,23,915,0.0915
49,23,275,0.0275
5,23,2,2e-04
50,23,856,0.0856
51,23,682,0.0682
53,23,673,0.0673
54,23,75,0.0075
55,23,236,0.0236
56,23,89,0.0089
6,23,1762,0.1762
72,23,30,0.003
8,23,521,0.0521
9,23,1811,0.1811
AFR,23,912,0.0912
ASI,23,1333,0.1333
CAM,23,299,0.0299
CAR,23,114,0.0114
EUR,23,1024,0.1024
ISL,23,18,0.0018
NAM,23,553,0.0553
OCE,23,49,0.0049
SAM,23,84,0.0084
1,24,1170,0.117
10,24,5268,0.5268
11,24,19984,1.9984
12,24,9416,0.9416
13,24,5934,0.5934
15,24,1907,0.1907
16,24,173,0.0173
17,24,2161,0.2161
18,24,1437,0.1437
19,24,529,0.0529
2,24,816,0.0816
20,24,728,0.0728
21,24,805,0.0805
22,24,616,0.0616
23,24,270,0.027
25,24,3009,0.3009
26,24,1666,0.1666
27,24,711,0.0711
28,24,788,0.0788
29,24,771,0.0771
30,24,69,0.0069
31,24,274,0.0274
32,24,785,0.0785
33,24,282,0.0282
34,24,7320,0.732
35,24,762,0.0762
36,24,13061,1.3061
37,24,7754,0.7754
38,24,162,0.0162
39,24,3217,0.3217
4,24,1749,0.1749
40,24,557,0.0557
41,24,439,0.0439
42,24,13392,1.3392
44,24,675,0.0675
45,24,1996,0.1996
46,24,137,0.0137
47,24,1438,0.1438
48,24,5481,0.5481
49,24,749,0.0749
5,24,281,0.0281
50,24,302,0.0302
51,24,23213,2.3213
53,24,1936,0.1936
54,24,3527,0.3527
55,24,1121,0.1121
56,24,130,0.013
6,24,7940,0.794
72,24,1592,0.1592
8,24,2203,0.2203
9,24,1396,0.1396
AFR,24,8985,0.8985
ASI,24,17029,1.7029
CAM,24,4129,0.4129
CAR,24,1537,0.1537
EUR,24,8269,0.8269
ISL,24,529,0.0529
NAM,24,781,0.0781
OCE,24,622,0.0622
SAM,24,3902,0.3902
1,25,396,0.0396
10,25,508,0.0508
11,25,1351,0.1351
12,25,10697,1.0697
13,25,3088,0.3088
15,25,494,0.0494
16,25,430,0.043
17,25,3612,0.3612
18,25,982,0.0982
19,25,387,0.0387
2,25,903,0.0903
20,25,518,0.0518
21,25,675,0.0675
22,25,559,0.0559
23,25,3887,0.3887
24,25,3289,0.3289
26,25,1608,0.1608
27,25,1116,0.1116
28,25,243,0.0243
29,25,1223,0.1223
30,25,64,0.0064
31,25,291,0.0291
32,25,703,0.0703
33,25,10903,1.0903
34,25,6460,0.646
35,25,473,0.0473
36,25,21010,2.101
37,25,3181,0.3181
38,25,77,0.0077
39,25,2104,0.2104
4,25,1651,0.1651
40,25,530,0.053
41,25,696,0.0696
42,25,6350,0.635
44,25,8560,0.856
45,25,1351,0.1351
46,25,58,0.0058
47,25,773,0.0773
48,25,4248,0.4248
49,25,673,0.0673
5,25,352,0.0352
50,25,2873,0.2873
51,25,4515,0.4515
53,25,1464,0.1464
54,25,230,0.023
55,25,1017,0.1017
56,25,39,0.0039
6,25,12082,1.2082
72,25,4245,0.4245
8,25,2403,0.2403
9,25,10281,1.0281
AFR,25,4476,0.4476
ASI,25,25071,2.5071
CAM,25,3545,0.3545
CAR,25,5539,0.5539
EUR,25,14530,1.453
ISL,25,448,0.0448
NAM,25,2163,0.2163
OCE,25,849,0.0849
SAM,25,7465,0.7465
1,26,2468,0.2468
10,26,130,0.013
11,26,565,0.0565
12,26,12753,1.2753
13,26,5675,0.5675
15,26,542,0.0542
16,26,724,0.0724
17,26,14186,1.4186
18,26,10677,1.0677
19,26,1197,0.1197
2,26,1832,0.1832
20,26,1326,0.1326
21,26,2789,0.2789
22,26,1136,0.1136
23,26,376,0.0376
24,26,1491,0.1491
25,26,2455,0.2455
27,26,2113,0.2113
28,26,1324,0.1324
29,26,2794,0.2794
30,26,500,0.05
31,26,664,0.0664
32,26,1589,0.1589
33,26,329,0.0329
34,26,1737,0.1737
35,26,661,0.0661
36,26,5645,0.5645
37,26,4057,0.4057
38,26,691,0.0691
39,26,13149,1.3149
4,26,4472,0.4472
40,26,930,0.093
41,26,905,0.0905
42,26,3771,0.3771
44,26,310,0.031
45,26,2388,0.2388
46,26,319,0.0319
47,26,5056,0.5056
48,26,8413,0.8413
49,26,741,0.0741
5,26,1339,0.1339
50,26,214,0.0214
51,26,2681,0.2681
53,26,1919,0.1919
54,26,531,0.0531
55,26,4822,0.4822
56,26,509,0.0509
6,26,9338,0.9338
72,26,1204,0.1204
8,26,2211,0.2211
9,26,1037,0.1037
AFR,26,2398,0.2398
ASI,26,27978,2.7978
CAM,26,3788,0.3788
CAR,26,1527,0.1527
EUR,26,6911,0.6911
ISL,26,189,0.0189
NAM,26,2884,0.2884
OCE,26,561,0.0561
SAM,26,1747,0.1747
1,27,315,0.0315
10,27,112,0.0112
11,27,247,0.0247
12,27,3326,0.3326
13,27,2318,0.2318
15,27,449,0.0449
16,27,387,0.0387
17,27,8056,0.8056
18,27,1941,0.1941
19,27,6193,0.6193
2,27,734,0.0734
20,27,1102,0.1102
21,27,337,0.0337
22,27,429,0.0429
23,27,131,0.0131
24,27,874,0.0874
25,27,1096,0.1096
26,27,2573,0.2573
28,27,342,0.0342
29,27,1832,0.1832
30,27,652,0.0652
31,27,1708,0.1708
32,27,853,0.0853
33,27,160,0.016
34,27,797,0.0797
35,27,574,0.0574
36,27,2650,0.265
37,27,1607,0.1607
38,27,9533,0.9533
39,27,2451,0.2451
4,27,3374,0.3374
40,27,787,0.0787
41,27,1267,0.1267
42,27,1146,0.1146
44,27,147,0.0147
45,27,483,0.0483
46,27,4714,0.4714
47,27,1426,0.1426
48,27,5095,0.5095
49,27,1105,0.1105
5,27,655,0.0655
50,27,78,0.0078
51,27,1928,0.1928
53,27,2596,0.2596
54,27,406,0.0406
55,27,18940,1.894
56,27,405,0.0405
6,27,6595,0.6595
72,27,501,0.0501
8,27,3329,0.3329
9,27,539,0.0539
AFR,27,4527,0.4527
ASI,27,12308,1.2308
CAM,27,2472,0.2472
CAR,27,567,0.0567
EUR,27,4349,0.4349
ISL,27,136,0.0136
NAM,27,1283,0.1283
OCE,27,502,0.0502
SAM,27,1680,0.168
1,28,6467,0.6467
10,28,64,0.0064
11,28,25,0.0025
12,28,5135,0.5135
13,28,4083,0.4083
15,28,355,0.0355
16,28,379,0.0379
17,28,2827,0.2827
18,28,815,0.0815
19,28,244,0.0244
2,28,184,0.0184
20,28,222,0.0222
21,28,832,0.0832
22,28,7853,0.7853
23,28,67,0.0067
24,28,539,0.0539
25,28,399,0.0399
26,28,1175,0.1175
27,28,151,0.0151
29,28,1230,0.123
30,28,253,0.0253
31,28,513,0.0513
32,28,435,0.0435
33,28,67,0.0067
34,28,607,0.0607
35,28,254,0.0254
36,28,567,0.0567
37,28,1275,0.1275
38,28,6,6e-04
39,28,1024,0.1024
4,28,740,0.074
40,28,760,0.076
41,28,215,0.0215
42,28,784,0.0784
44,28,15,0.0015
45,28,1177,0.1177
46,28,11,0.0011
47,28,10436,1.0436
48,28,6614,0.6614
49,28,115,0.0115
5,28,2045,0.2045
50,28,0,0
51,28,1062,0.1062
53,28,1076,0.1076
54,28,495,0.0495
55,28,579,0.0579
56,28,51,0.0051
6,28,4240,0.424
72,28,493,0.0493
8,28,703,0.0703
9,28,119,0.0119
AFR,28,214,0.0214
ASI,28,2721,0.2721
CAM,28,1336,0.1336
CAR,28,849,0.0849
EUR,28,728,0.0728
ISL,28,33,0.0033
NAM,28,195,0.0195
OCE,28,144,0.0144
SAM,28,421,0.0421
1,30,140,0.014
10,30,0,0
11,30,15,0.0015
12,30,815,0.0815
13,30,307,0.0307
15,30,123,0.0123
16,30,2298,0.2298
17,30,868,0.0868
18,30,541,0.0541
19,30,254,0.0254
2,30,824,0.0824
20,30,350,0.035
21,30,97,0.0097
22,30,196,0.0196
23,30,97,0.0097
24,30,205,0.0205
25,30,266,0.0266
26,30,628,0.0628
27,30,1017,0.1017
28,30,188,0.0188
29,30,470,0.047
31,30,190,0.019
32,30,797,0.0797
33,30,134,0.0134
34,30,83,0.0083
35,30,328,0.0328
36,30,315,0.0315
37,30,668,0.0668
38,30,1715,0.1715
39,30,219,0.0219
4,30,1187,0.1187
40,30,301,0.0301
41,30,1612,0.1612
42,30,543,0.0543
44,30,15,0.0015
45,30,108,0.0108
46,30,351,0.0351
47,30,98,0.0098
48,30,2571,0.2571
49,30,1508,0.1508
5,30,429,0.0429
50,30,127,0.0127
51,30,371,0.0371
53,30,4899,0.4899
54,30,62,0.0062
55,30,488,0.0488
56,30,1932,0.1932
6,30,4665,0.4665
72,30,36,0.0036
8,30,2252,0.2252
9,30,15,0.0015
AFR,30,163,0.0163
ASI,30,1181,0.1181
CAM,30,430,0.043
CAR,30,123,0.0123
EUR,30,1085,0.1085
ISL,30,37,0.0037
NAM,30,242,0.0242
OCE,30,186,0.0186
SAM,30,144,0.0144
1,31,326,0.0326
10,31,20,0.002
11,31,32,0.0032
12,31,2048,0.2048
13,31,882,0.0882
15,31,174,0.0174
16,31,406,0.0406
17,31,2276,0.2276
18,31,377,0.0377
19,31,7226,0.7226
2,31,415,0.0415
20,31,2847,0.2847
21,31,417,0.0417
22,31,300,0.03
23,31,153,0.0153
24,31,521,0.0521
25,31,293,0.0293
26,31,773,0.0773
27,31,1925,0.1925
28,31,138,0.0138
29,31,1935,0.1935
30,31,294,0.0294
32,31,626,0.0626
33,31,84,0.0084
34,31,245,0.0245
35,31,640,0.064
36,31,569,0.0569
37,31,471,0.0471
38,31,581,0.0581
39,31,415,0.0415
4,31,1361,0.1361
40,31,942,0.0942
41,31,323,0.0323
42,31,622,0.0622
44,31,212,0.0212
45,31,389,0.0389
46,31,2375,0.2375
47,31,391,0.0391
48,31,3630,0.363
49,31,1232,0.1232
5,31,407,0.0407
50,31,6,6e-04
51,31,931,0.0931
53,31,482,0.0482
54,31,48,0.0048
55,31,607,0.0607
56,31,792,0.0792
6,31,3443,0.3443
72,31,196,0.0196
8,31,4321,0.4321
9,31,253,0.0253
AFR,31,892,0.0892
ASI,31,4383,0.4383
CAM,31,999,0.0999
CAR,31,251,0.0251
EUR,31,1572,0.1572
ISL,31,40,0.004
NAM,31,297,0.0297
OCE,31,29,0.0029
SAM,31,430,0.043
1,32,705,0.0705
10,32,160,0.016
11,32,212,0.0212
12,32,5576,0.5576
13,32,1457,0.1457
15,32,4402,0.4402
16,32,2702,0.2702
17,32,3541,0.3541
18,32,965,0.0965
19,32,649,0.0649
2,32,1361,0.1361
20,32,637,0.0637
21,32,889,0.0889
22,32,358,0.0358
23,32,140,0.014
24,32,925,0.0925
25,32,646,0.0646
26,32,1814,0.1814
27,32,1632,0.1632
28,32,434,0.0434
29,32,1137,0.1137
30,32,856,0.0856
31,32,645,0.0645
33,32,188,0.0188
34,32,1042,0.1042
35,32,2247,0.2247
36,32,2890,0.289
37,32,1880,0.188
38,32,182,0.0182
39,32,1625,0.1625
4,32,5848,0.5848
40,32,504,0.0504
41,32,2504,0.2504
42,32,1735,0.1735
44,32,137,0.0137
45,32,977,0.0977
46,32,557,0.0557
47,32,1094,0.1094
48,32,4676,0.4676
49,32,5240,0.524
5,32,526,0.0526
50,32,79,0.0079
51,32,1606,0.1606
53,32,5544,0.5544
54,32,181,0.0181
55,32,932,0.0932
56,32,758,0.0758
6,32,48617,4.8617
72,32,400,0.04
8,32,3768,0.3768
9,32,756,0.0756
AFR,32,757,0.0757
ASI,32,6121,0.6121
CAM,32,2589,0.2589
CAR,32,1181,0.1181
EUR,32,2430,0.243
ISL,32,519,0.0519
NAM,32,636,0.0636
OCE,32,488,0.0488
SAM,32,1196,0.1196
1,33,115,0.0115
10,33,42,0.0042
11,33,149,0.0149
12,33,2375,0.2375
13,33,443,0.0443
15,33,135,0.0135
16,33,28,0.0028
17,33,608,0.0608
18,33,352,0.0352
19,33,84,0.0084
2,33,286,0.0286
20,33,150,0.015
21,33,207,0.0207
22,33,209,0.0209
23,33,3821,0.3821
24,33,701,0.0701
25,33,19059,1.9059
26,33,296,0.0296
27,33,134,0.0134
28,33,156,0.0156
29,33,128,0.0128
30,33,96,0.0096
31,33,46,0.0046
32,33,479,0.0479
34,33,668,0.0668
35,33,55,0.0055
36,33,3137,0.3137
37,33,739,0.0739
38,33,177,0.0177
39,33,328,0.0328
4,33,338,0.0338
40,33,110,0.011
41,33,167,0.0167
42,33,1396,0.1396
44,33,872,0.0872
45,33,144,0.0144
46,33,31,0.0031
47,33,158,0.0158
48,33,1059,0.1059
49,33,249,0.0249
5,33,262,0.0262
50,33,2558,0.2558
51,33,676,0.0676
53,33,198,0.0198
54,33,249,0.0249
55,33,197,0.0197
56,33,0,0
6,33,1826,0.1826
72,33,374,0.0374
8,33,589,0.0589
9,33,2448,0.2448
AFR,33,380,0.038
ASI,33,3368,0.3368
CAM,33,275,0.0275
CAR,33,302,0.0302
EUR,33,1043,0.1043
ISL,33,61,0.0061
NAM,33,378,0.0378
OCE,33,93,0.0093
SAM,33,282,0.0282
1,34,305,0.0305
10,34,1600,0.16
11,34,875,0.0875
12,34,10444,1.0444
13,34,3247,0.3247
15,34,359,0.0359
16,34,54,0.0054
17,34,2215,0.2215
18,34,1082,0.1082
19,34,67,0.0067
2,34,575,0.0575
20,34,515,0.0515
21,34,410,0.041
22,34,901,0.0901
23,34,375,0.0375
24,34,3795,0.3795
25,34,3601,0.3601
26,34,1785,0.1785
27,34,750,0.075
28,34,206,0.0206
29,34,759,0.0759
30,34,192,0.0192
31,34,212,0.0212
32,34,462,0.0462
33,34,368,0.0368
35,34,386,0.0386
36,34,49877,4.9877
37,34,3664,0.3664
38,34,151,0.0151
39,34,1503,0.1503
4,34,1082,0.1082
40,34,223,0.0223
41,34,577,0.0577
42,34,21586,2.1586
44,34,654,0.0654
45,34,1558,0.1558
46,34,61,0.0061
47,34,1140,0.114
48,34,4868,0.4868
49,34,186,0.0186
5,34,224,0.0224
50,34,364,0.0364
51,34,4649,0.4649
53,34,948,0.0948
54,34,444,0.0444
55,34,622,0.0622
56,34,61,0.0061
6,34,6526,0.6526
72,34,4061,0.4061
8,34,1104,0.1104
9,34,3205,0.3205
AFR,34,4767,0.4767
ASI,34,29099,2.9099
CAM,34,4909,0.4909
CAR,34,6889,0.6889
EUR,34,9185,0.9185
ISL,34,225,0.0225
NAM,34,1903,0.1903
OCE,34,443,0.0443
SAM,34,5791,0.5791
1,35,289,0.0289
10,35,104,0.0104
11,35,82,0.0082
12,35,1995,0.1995
13,35,782,0.0782
15,35,426,0.0426
16,35,364,0.0364
17,35,1232,0.1232
18,35,559,0.0559
19,35,234,0.0234
2,35,948,0.0948
20,35,344,0.0344
21,35,257,0.0257
22,35,619,0.0619
23,35,296,0.0296
24,35,1000,0.1
25,35,521,0.0521
26,35,834,0.0834
27,35,447,0.0447
28,35,404,0.0404
29,35,1053,0.1053
30,35,370,0.037
31,35,276,0.0276
32,35,1093,0.1093
33,35,315,0.0315
34,35,398,0.0398
36,35,1083,0.1083
37,35,689,0.0689
38,35,39,0.0039
39,35,748,0.0748
4,35,6537,0.6537
40,35,1619,0.1619
41,35,979,0.0979
42,35,674,0.0674
44,35,59,0.0059
45,35,790,0.079
46,35,172,0.0172
47,35,670,0.067
48,35,15135,1.5135
49,35,1081,0.1081
5,35,221,0.0221
50,35,75,0.0075
51,35,1410,0.141
53,35,1305,0.1305
54,35,79,0.0079
55,35,454,0.0454
56,35,328,0.0328
6,35,5573,0.5573
72,35,195,0.0195
8,35,4632,0.4632
9,35,279,0.0279
AFR,35,264,0.0264
ASI,35,3011,0.3011
CAM,35,4371,0.4371
CAR,35,36,0.0036
EUR,35,2206,0.2206
ISL,35,55,0.0055
NAM,35,286,0.0286
OCE,35,208,0.0208
SAM,35,352,0.0352
1,36,1198,0.1198
10,36,1254,0.1254
11,36,3870,0.387
12,36,26274,2.6274
13,36,7498,0.7498
15,36,1233,0.1233
16,36,448,0.0448
17,36,7331,0.7331
18,36,1858,0.1858
19,36,876,0.0876
2,36,2497,0.2497
20,36,1147,0.1147
21,36,1124,0.1124
22,36,1498,0.1498
23,36,1428,0.1428
24,36,7471,0.7471
25,36,15864,1.5864
26,36,3408,0.3408
27,36,1459,0.1459
28,36,960,0.096
29,36,2726,0.2726
30,36,248,0.0248
31,36,135,0.0135
32,36,1723,0.1723
33,36,1875,0.1875
34,36,32940,3.294
35,36,993,0.0993
37,36,10270,1.027
38,36,292,0.0292
39,36,6119,0.6119
4,36,5270,0.527
40,36,1436,0.1436
41,36,1727,0.1727
42,36,23742,2.3742
44,36,1796,0.1796
45,36,5435,0.5435
46,36,191,0.0191
47,36,2736,0.2736
48,36,11744,1.1744
49,36,1218,0.1218
5,36,714,0.0714
50,36,2723,0.2723
51,36,10143,1.0143
53,36,4276,0.4276
54,36,985,0.0985
55,36,1813,0.1813
56,36,219,0.0219
6,36,23518,2.3518
72,36,6109,0.6109
8,36,3052,0.3052
9,36,14558,1.4558
AFR,36,6808,0.6808
ASI,36,62348,6.2348
CAM,36,7376,0.7376
CAR,36,21179,2.1179
EUR,36,29388,2.9388
ISL,36,441,0.0441
NAM,36,4975,0.4975
OCE,36,2918,0.2918
SAM,36,13098,1.3098
1,37,3882,0.3882
10,37,1235,0.1235
11,37,2125,0.2125
12,37,28213,2.8213
13,37,19284,1.9284
15,37,1960,0.196
16,37,643,0.0643
17,37,7274,0.7274
18,37,3514,0.3514
19,37,1446,0.1446
2,37,2270,0.227
20,37,1956,0.1956
21,37,3192,0.3192
22,37,2103,0.2103
23,37,1324,0.1324
24,37,10379,1.0379
25,37,5801,0.5801
26,37,6002,0.6002
27,37,2482,0.2482
28,37,1323,0.1323
29,37,3159,0.3159
30,37,476,0.0476
31,37,842,0.0842
32,37,1748,0.1748
33,37,1228,0.1228
34,37,11152,1.1152
35,37,1100,0.11
36,37,25267,2.5267
38,37,510,0.051
39,37,9739,0.9739
4,37,4682,0.4682
40,37,1573,0.1573
41,37,1299,0.1299
42,37,12633,1.2633
44,37,799,0.0799
45,37,26869,2.6869
46,37,595,0.0595
47,37,7696,0.7696
48,37,13385,1.3385
49,37,977,0.0977
5,37,865,0.0865
50,37,624,0.0624
51,37,30914,3.0914
53,37,3646,0.3646
54,37,3605,0.3605
55,37,1983,0.1983
56,37,291,0.0291
6,37,18037,1.8037
72,37,1726,0.1726
8,37,4305,0.4305
9,37,5684,0.5684
AFR,37,3820,0.382
ASI,37,23535,2.3535
CAM,37,6869,0.6869
CAR,37,2126,0.2126
EUR,37,8974,0.8974
ISL,37,517,0.0517
NAM,37,1046,0.1046
OCE,37,723,0.0723
SAM,37,2350,0.235
1,38,123,0.0123
10,38,26,0.0026
11,38,29,0.0029
12,38,1010,0.101
13,38,301,0.0301
15,38,117,0.0117
16,38,489,0.0489
17,38,428,0.0428
18,38,203,0.0203
19,38,830,0.083
2,38,211,0.0211
20,38,214,0.0214
21,38,114,0.0114
22,38,218,0.0218
23,38,0,0
24,38,95,0.0095
25,38,48,0.0048
26,38,821,0.0821
27,38,13866,1.3866
28,38,378,0.0378
29,38,641,0.0641
30,38,1465,0.1465
31,38,495,0.0495
32,38,252,0.0252
33,38,124,0.0124
34,38,259,0.0259
